PROJ_NO,LOCATION,CHANGE_DATE,PROJ_NAME1,PCV_NAME,SUMMARY,STATE,OVERS_PART,OVERS_PCT,PROJ_REQ,UNIDENT_BAL,ATTRIBUTE4,SECTOR,SUB_SECTOR,LAST_UPDATED_FROM_PAYGOV
15-524-007,NICARAGUA,2015-01-13T11:50:27,Stove and Oven Project,"CA Anaya, M.","We live in two small communities in the region of Matagalpa. Community members and bakers rely on traditional three stone stoves to cook their daily meals and bake. The objectives of this project is to help beneficiaries  lower respiratory health problems and lower the rate of tree cutting for fuel by building 30 stoves and 8 ovens for families that use these means primarily for cooking and baking. This project will aid beneficiaries lower the amount of time they spend collecting wood because these stove and ovens require 60% less wood for fuel. They will benefit health wise as the project will lower the amount of smoke that is inhaled by beneficiaries and their family members through the traditional three stone stoves that is a daily necessity. As communities, it will help lower the rate at which trees are cut down for fuel. The communities are willing to contribute the time, tools and efforts to make sure this project is built and is sustainable. They know that a change in habit is required and are informed and prepared to do what is necessary. The ovens will also allow for an economic benefit for beneficiaries by allowing them to sell their products in a healthier manner. This project will benefit the community economically, environmentally, and health wise.",CA,,,1999.66,1974.66,,Health and HIV/AIDS,Stoves,2015-01-12T00:00:00
645-CFD,SWAZILAND,2014-12-23T10:45:41,Swaziland Country Fund,"SWAZILAND COUNTRY FUND","Contributions to the Swaziland Country Fund will support Volunteer and community projects that will take place in Swaziland. These projects include water and sanitation, agricultural development, and youth programs.",SW,,,0,0,,None,,2015-01-12T00:00:00
621-CFD,TANZANIA,2014-12-23T10:45:38,Tanzania Country Fund,"TANZANIA COUNTRY FUND","Contributions to the Tanzania Country Fund will support Volunteer and community projects that will take place in Tanzania. These projects include water and sanitation, agricultural development, and youth programs.",TA,,,0,0,,None,,2015-01-12T00:00:00
15-611-004,ZAMBIA,2014-12-31T09:18:53,Teaching Spaces,"OH Klein, M.","The goal of this project is to increase the number of available teaching spaces at the local Basic School. The school is currently lacking in classroom spaces; therefore the community has prioritized the development of infrastructure as a major need. The students, teachers, parents, and larger community have discussed the necessity for additional classrooms. The Basic School and the believe that the development of the school will help to decrease the very large class sizes, increase teacher and student relations, and decrease the number of students who drop out of school early due to the classroom environment. This will also allow the school and community to decrease the number of drop outs, early marriages, early pregnancies, and rates of HIV/AIDS. 
The local Basic School currently has eleven available classrooms. However, the desired number is twenty-one, based on the enrollment of the school: 1,108 students. The funding for new teaching spaces will help tremendously with providing for the structure and roofing materials. The community will be able to contribute locally found materials such as river sand, crushed rocks, as well as offer physical labor. The community is excited and ready to start gathering materials and building more teaching spaces!",OH,3526.57,41,4974.24,2924.24,,Municipal Development,School/Class Construction,2015-01-12T00:00:00
15-641-002,GHANA,2015-01-02T09:14:57,Tehisuma School Expansion,"MI Bart, J.","This project was born out of the desire of the community to provide access to primary education to children in the community. After building a successful kindergarten earlier this year, the Tehisuma School, which translated into English means ""Good Thinking School"", will open its doors to a primary school enrolling levels one though three in addition to completing the unfinished kindergarten building with the help of this grant. This community-based school will eventually expand to a full primary, with high English standards to eventually reduce the high dropout rates at the local junior high school.",MI,3747.81,32,7800,6700,,Municipal Development,School Renno/Repair/Enha,2015-01-12T00:00:00
493-CFD,THAILAND,2014-12-15T09:15:50,Thailand Country Fund,"THAILAND COUNTRY FUND","Contributions to the Thailand Country Fund will support Volunteer and community projects that will take place in Thailand. These projects include water and sanitation, agricultural development, and youth programs.",TH,,,0,0,,None,,2015-01-12T00:00:00
635-CFD,GAMBIA,2014-12-22T12:08:14,The Gambia Country Fund,"THE GAMBIA COUNTRY FUND","Contributions to the Gambia Country Fund will support Volunteer and community projects that will take place in the Gambia. These projects include water and sanitation, agricultural development, and youth programs.",TH,,,0,0,,None,,2015-01-12T00:00:00
15-309-001,MONGOLIA,2015-01-13T11:50:27,The International Creative Writing Competition Mongolia,"TX Seller, J.","In 2003, Peace Corps Volunteers in Georgia created the Writing Olympics to promote critical thinking and creativity in developing countries. Three years later, Armenia and Azerbaijan competed in the Writing Olympics, and in 2009, the competition went international.  In recent years, the competition has doubled, and as of current, there are 15 participating countries.
<BR><BR>
Children and adolescents, grades 6-12, university students years 1-4 and young professionals enter the international writing competition. This competition allows for growth in students, teachers and PCVs.  For students, they are able to work on their English writing skills in fun and creative ways. It allows teachers to develop the English language skills of their students through cognitive thinking processes. For PCVs, this is a fun way to get involved in a secondary project while promoting American language in a less structured way.
<BR><BR>
Community involvement allows for this competition to be successful. Teachers donate their time to help prepare students for the competition and to help proctor and grade the essays. Schools open on a weekend to allow teachers and Volunteers to hold the competition. 
<BR><BR>
In order to obtain prizes for first, second and third place at each secondary school, university and professional grade and for each level of the competition (the Aimag, national and international level) the Mongolian National writing completion is asking for Partnership Program assistance. This assistance will ensure that interest in this competition continues to flourish in Mongolia. 
      Certificates will be given to three student winners for each grade in each aimag. 3 National winners from each grade of the competition will receive medals, 
and international winners will receive prizes based on how many winners there are and the remaining funds. Last year, there were 8 winners from Mongolia, this year we anticipate 10. WIth the build in funds, if 10 individuals won we would be able to give a plaque.",TX,230.36,28,581.38,176.38,,Education,English,2015-01-12T00:00:00
15-526-005,PARAGUAY,2015-01-12T13:27:06,The Modern Bathroom Project,"DE Levering K.","The 18-family Modern Bathroom Project has four main objectives. First is the learning objective. I live in a site that is fairly developed yet the people are not readily aware of the resources that they have access to. It is important for the community to learn how to form a commission, organize a project, and see it through. They have many commissions, yet they rarely complete projects. They lack the organization. 
<BR><BR>
Second is the community contribution. The families in my commission understand that this project will not be successful if they do not put the work in. They are fully aware that they will need to 'get their hands dirty' and they are prepared to work. The people will learn that anything is possible, as long as they are willing to put in the effort. 
<BR><BR>
Third is the health objective. The families on the outskirts of the city do not have the luxury of an in-door bathroom, most of them. They have up to 10 people living in one house with an outhouse in the backyard without running water. Many families need to take bucket-showers. If it is raining, and they do not want to get wet, they go to the bathroom in a bucket in their house and leave it exposed. This is a possible transmission for parasites. 
<BR><BR>
The final objective is to teach the community how to raise funds on their own. We plan on hosting a movie night in the municipality for the entire community.",DE,2727.71,24,8547.05,8182.05,,Water & Sanitation,Latrines,2015-01-12T00:00:00
15-366-001,CHINA,2015-01-06T15:47:18,The Reading Bridge: Developing a Level-Appropriate English Language Library,"OH Kiess, K.","English today has become a global language, and a high level proficiency in the English language has the potential to assist a country, community, family, or individual economically, professionally, or educationally in the present and in the future.  Furthermore, Chinese educational policy has set the development of English language proficiency as a high priority for all of its students; however, many students and teachers lack equal access to the necessary resources and preparation to meet these educational expectations in the more impoverished areas of China today.  Moreover, students from these areas often not only lack the requisite skills to meet these expectations but also lack the self-confidence in their own ability to improve their English language proficiency so that it negatively impacts their performance in their English language classrooms.  Therefore, to help address this need, our local university's student-run English resource room, in collaboration with current Peace Corps Volunteers and the university faculty and staff seek funding to develop and expand a level-appropriate and free English language library, through the inclusion of English-language leveled readers and related library clubs, contests, and activities, in order to empower and provide students with the necessary resources, skills, and learning opportunities to meet their and their future students' English language goals and needs.",OH,704.92,49,731.15,731.15,,Education,English,2015-01-12T00:00:00
693-CFD,TOGO,2014-01-15T09:38:14,Togo Country Fund,"TOGO COUNTRY FUND","Contributions to the Togo Country Fund will support Volunteer and community projects that will take place in Togo. These projects include water and sanitation, agricultural development, and youth programs.",TO,,,0,0,,None,,2015-01-12T00:00:00
421-CFD,TONGA,2014-02-04T09:23:21,Tonga Country Fund,"TONGA COUNTRY FUND","Contributions to the Tonga Country Fund will support Volunteer and community projects that will take place in Tonga. These projects include youth development, school library development, environmental education, public health and IT education",TO,,,0,0,,None,,2015-01-12T00:00:00
617-CFD,UGANDA,2014-12-22T12:07:42,Uganda Country Fund,"UGANDA COUNTRY FUND","Contributions to the Uganda Country Fund will support Volunteer and community projects that will take place in Uganda. These projects include water and sanitation, agricultural development, and youth programs.",UG,,,0,0,,None,,2015-01-12T00:00:00
343-CFD,UKRAINE,2014-12-30T09:27:08,Ukraine Country Fund,"UKRAINE COUNTRY FUND","Contributions to the Ukraine Country Fund will support Volunteer and community projects that will take place in Ukraine. These projects include water and sanitation, agricultural development, and youth programs.",UK,,,0,0,,None,,2015-01-12T00:00:00
461-CFD,VANUATU,2013-09-19T09:01:45,Vanuatu Country Fund,"VANUATU COUNTRY FUND","Contributions to the Vanuatu Country Fund will support Volunteer and community projects that will take place in Vanuatu. These projects include water and sanitation, agricultural development, and youth programs.",VA,,,0,0,,None,,2015-01-12T00:00:00
15-525-004,PANAMA,2014-12-31T09:18:49,Women's Biodiversity Seminar,"CA Mackin, C.","Rural Panamanian women are underutilized, yet vital players in environmental protection. Through seed saving, home gardening, and selling value-added natural products, women can increase local biodiversity in an economically sustainable way. With this grant, Peace Corps Volunteers (PCVs) in Panama will host a 3 day biodiversity seminar for women to inspire and train them to make a impact in their immediate natural environments. Collaborating with a Panamanian governmental agency, the national agroforestry seed bank, local permaculture farmers, and successful venders of value-added plant-based products, PCVs will facilitate lessons on climate change, biodiversity, home gardening, nutrition, seed saving, cooking, group-forming, and creating products from agricultural goods grown within the local ecosystem.  Through this seminar we hope to increase knowledge of biodiversity in rural Panamanian women and to help create economic opportunities in their respective communities with little start up costs and multi-functional outcomes.",CA,2180.00,38,3565,2795,,Gender and Development,Women's Empowerment,2015-01-12T00:00:00
15-693-004,TOGO,2015-01-13T11:50:20,Women's Wellness and Empowerment Conference (WWEC),"FL Griner, A.","The Women's Wellness and Empowerment Conference (WWEC) is a national conference held annually in Togo. The five-day conference brings together strong female leaders from communities all over Togo. With this year's 5th annual event, WWEC will celebrate the unity and tenacity of Togolese women.Togo is home to many dynamic, strong and motivated women, but all too often they are overlooked as a source of vital community development. WWEC 2015 will bring 30 of these women together and provide them with an empowering, professional platform to learn how to become advocates for women's rights and women's health in their communities. Throughout the conference each woman will have the opportunity to share her personal experiences and grow from those of her peers, creating a strong network of female agents of change. In order to further encourage the women to take action for community change, women are nominated by Peace Corps Volunteers who will support and help connect the women within their regions and throughout Togo. From past experience, WWEC finds that the greatest change comes when participants have continued support and encouragement easily accessible following the conference. To achieve this we will host reconnect events on the regional level three months following the national conference. These events will allow WWEC to continue offering technical and social support through the creation of a close-knit regional network. The women will share their challenges and success stories regarding the work they did following the conference and will identify regional resources and work opportunities available to them. To demonstrate interest and commitment to this project, selected participants will pay a registration fee of 3000cfa and/or donate materials such as food supplies or services (i.e. midwife consultations, batik printing etc). Upon returning their their villages, each participant will also hold trainings on at least two topics covered during the conference. WWEC 2015 will forge strong female leaders across Togo who will tackle the difficulties facing the nation's women with regards to their health and rights and strengthen the path for a better future.",FL,4597.56,32,9993.4,5813,,Gender and Development,Conference,2015-01-12T00:00:00
SPF-YTH,OSP/GGM,2014-12-19T09:23:40,Youth Fund,"Youth Fund","In communities that face very basic struggles, the specific needs of children and young adults often go unaddressed.  Peace Corps Volunteers work with local youths to improve their education opportunities, make them aware of health and cultural issues they will face, and engage them in activities that will help them grow.  Contributions to this fund will help Volunteer and community projects such as camps, recreation centers, and after school clubs and sports.",Yo,,,2550,2550,,Youth Development,,2015-01-12T00:00:00
611-CFD,ZAMBIA,2014-12-31T09:18:57,Zambia Country Fund,"ZAMBIA COUNTRY FUND","Contributions to the Zambia Country Fund will support Volunteer and community projects that will take place in Zambia. These projects include water and sanitation, agricultural development, youth, health and HIV/AIDS  programs.",ZA,,,0,0,,None,,2015-01-12T00:00:00
